Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031199,2000,06,30,,,
IDCJAC0009,031199,2000,07,01,,,
IDCJAC0009,031199,2000,07,02,,,
IDCJAC0009,031199,2000,07,03,,,
IDCJAC0009,031199,2000,07,04,,,
IDCJAC0009,031199,2000,07,05,,,
IDCJAC0009,031199,2000,07,06,,,
IDCJAC0009,031199,2000,07,07,,,
IDCJAC0009,031199,2000,07,08,,,
IDCJAC0009,031199,2000,07,09,,,
IDCJAC0009,031199,2000,07,10,,,
IDCJAC0009,031199,2000,07,11,,,
IDCJAC0009,031199,2000,07,12,,,
IDCJAC0009,031199,2000,07,13,,,
IDCJAC0009,031199,2000,07,14,,,
IDCJAC0009,031199,2000,07,15,,,
IDCJAC0009,031199,2000,07,16,,,
IDCJAC0009,031199,2000,07,17,,,
IDCJAC0009,031199,2000,07,18,,,
IDCJAC0009,031199,2000,07,19,,,
IDCJAC0009,031199,2000,07,20,,,
IDCJAC0009,031199,2000,07,21,,,
IDCJAC0009,031199,2000,07,22,,,
IDCJAC0009,031199,2000,07,23,,,
IDCJAC0009,031199,2000,07,24,,,
IDCJAC0009,031199,2000,07,25,,,
IDCJAC0009,031199,2000,07,26,,,
IDCJAC0009,031199,2000,07,27,,,
IDCJAC0009,031199,2000,07,28,,,
IDCJAC0009,031199,2000,07,29,,,
IDCJAC0009,031199,2000,07,30,,,
IDCJAC0009,031199,2000,07,31,,,
IDCJAC0009,031199,2000,08,01,,,
IDCJAC0009,031199,2000,08,02,,,
IDCJAC0009,031199,2000,08,03,,,
IDCJAC0009,031199,2000,08,04,,,
IDCJAC0009,031199,2000,08,05,,,
IDCJAC0009,031199,2000,08,06,,,
IDCJAC0009,031199,2000,08,07,,,
IDCJAC0009,031199,2000,08,08,,,
IDCJAC0009,031199,2000,08,09,,,
IDCJAC0009,031199,2000,08,10,,,
IDCJAC0009,031199,2000,08,11,,,
IDCJAC0009,031199,2000,08,12,,,
IDCJAC0009,031199,2000,08,13,,,
IDCJAC0009,031199,2000,08,14,,,
IDCJAC0009,031199,2000,08,15,,,
IDCJAC0009,031199,2000,08,16,,,
IDCJAC0009,031199,2000,08,17,,,
IDCJAC0009,031199,2000,08,18,,,
IDCJAC0009,031199,2000,08,19,,,
IDCJAC0009,031199,2000,08,20,,,
IDCJAC0009,031199,2000,08,21,,,
IDCJAC0009,031199,2000,08,22,,,
IDCJAC0009,031199,2000,08,23,,,
IDCJAC0009,031199,2000,08,24,,,
IDCJAC0009,031199,2000,08,25,,,
IDCJAC0009,031199,2000,08,26,,,
IDCJAC0009,031199,2000,08,27,,,
IDCJAC0009,031199,2000,08,28,,,
IDCJAC0009,031199,2000,08,29,,,
IDCJAC0009,031199,2000,08,30,,,
IDCJAC0009,031199,2000,08,31,,,
IDCJAC0009,031199,2000,09,01,,,
IDCJAC0009,031199,2000,09,02,,,
IDCJAC0009,031199,2000,09,03,,,
IDCJAC0009,031199,2000,09,04,,,
IDCJAC0009,031199,2000,09,05,,,
IDCJAC0009,031199,2000,09,06,,,
IDCJAC0009,031199,2000,09,07,,,
IDCJAC0009,031199,2000,09,08,,,
IDCJAC0009,031199,2000,09,09,,,
IDCJAC0009,031199,2000,09,10,,,
IDCJAC0009,031199,2000,09,11,,,
IDCJAC0009,031199,2000,09,12,,,
IDCJAC0009,031199,2000,09,13,,,
IDCJAC0009,031199,2000,09,14,,,
IDCJAC0009,031199,2000,09,15,,,
IDCJAC0009,031199,2000,09,16,,,
IDCJAC0009,031199,2000,09,17,,,
IDCJAC0009,031199,2000,09,18,,,
IDCJAC0009,031199,2000,09,19,,,
IDCJAC0009,031199,2000,09,20,,,
IDCJAC0009,031199,2000,09,21,,,
IDCJAC0009,031199,2000,09,22,,,
IDCJAC0009,031199,2000,09,23,,,
IDCJAC0009,031199,2000,09,24,,,
IDCJAC0009,031199,2000,09,25,,,
IDCJAC0009,031199,2000,09,26,,,
IDCJAC0009,031199,2000,09,27,,,
IDCJAC0009,031199,2000,09,28,,,
IDCJAC0009,031199,2000,09,29,,,
IDCJAC0009,031199,2000,09,30,,,
IDCJAC0009,031199,2000,10,01,,,
IDCJAC0009,031199,2000,10,02,,,
IDCJAC0009,031199,2000,10,03,,,
IDCJAC0009,031199,2000,10,04,,,
IDCJAC0009,031199,2000,10,05,,,
IDCJAC0009,031199,2000,10,06,,,
IDCJAC0009,031199,2000,10,07,,,
IDCJAC0009,031199,2000,10,08,,,
IDCJAC0009,031199,2000,10,09,,,
IDCJAC0009,031199,2000,10,10,,,
IDCJAC0009,031199,2000,10,11,,,
IDCJAC0009,031199,2000,10,12,,,
IDCJAC0009,031199,2000,10,13,,,
IDCJAC0009,031199,2000,10,14,,,
IDCJAC0009,031199,2000,10,15,,,
IDCJAC0009,031199,2000,10,16,,,
IDCJAC0009,031199,2000,10,17,,,
IDCJAC0009,031199,2000,10,18,,,
IDCJAC0009,031199,2000,10,19,,,
IDCJAC0009,031199,2000,10,20,,,
IDCJAC0009,031199,2000,10,21,,,
IDCJAC0009,031199,2000,10,22,,,
IDCJAC0009,031199,2000,10,23,,,
IDCJAC0009,031199,2000,10,24,,,
IDCJAC0009,031199,2000,10,25,,,
IDCJAC0009,031199,2000,10,26,,,
IDCJAC0009,031199,2000,10,27,,,
IDCJAC0009,031199,2000,10,28,,,
IDCJAC0009,031199,2000,10,29,,,
IDCJAC0009,031199,2000,10,30,,,
IDCJAC0009,031199,2000,10,31,,,
IDCJAC0009,031199,2000,11,01,,,
IDCJAC0009,031199,2000,11,02,,,
IDCJAC0009,031199,2000,11,03,,,
IDCJAC0009,031199,2000,11,04,,,
IDCJAC0009,031199,2000,11,05,,,
IDCJAC0009,031199,2000,11,06,,,
IDCJAC0009,031199,2000,11,07,,,
IDCJAC0009,031199,2000,11,08,,,
IDCJAC0009,031199,2000,11,09,,,
IDCJAC0009,031199,2000,11,10,,,
IDCJAC0009,031199,2000,11,11,,,
IDCJAC0009,031199,2000,11,12,,,
IDCJAC0009,031199,2000,11,13,,,
IDCJAC0009,031199,2000,11,14,,,
IDCJAC0009,031199,2000,11,15,,,
IDCJAC0009,031199,2000,11,16,,,
IDCJAC0009,031199,2000,11,17,,,
IDCJAC0009,031199,2000,11,18,,,
IDCJAC0009,031199,2000,11,19,,,
IDCJAC0009,031199,2000,11,20,,,
IDCJAC0009,031199,2000,11,21,,,
IDCJAC0009,031199,2000,11,22,,,
IDCJAC0009,031199,2000,11,23,,,
IDCJAC0009,031199,2000,11,24,,,
IDCJAC0009,031199,2000,11,25,,,
IDCJAC0009,031199,2000,11,26,,,
IDCJAC0009,031199,2000,11,27,,,
IDCJAC0009,031199,2000,11,28,,,
IDCJAC0009,031199,2000,11,29,,,
IDCJAC0009,031199,2000,11,30,0.0,1,N
IDCJAC0009,031199,2000,12,01,0.0,1,N
IDCJAC0009,031199,2000,12,02,0.0,1,N
IDCJAC0009,031199,2000,12,03,4.0,1,N
IDCJAC0009,031199,2000,12,04,4.0,1,N
IDCJAC0009,031199,2000,12,05,26.0,1,N
IDCJAC0009,031199,2000,12,06,48.0,1,N
IDCJAC0009,031199,2000,12,07,12.0,1,N
IDCJAC0009,031199,2000,12,08,2.0,1,N
IDCJAC0009,031199,2000,12,09,6.0,1,N
IDCJAC0009,031199,2000,12,10,0.0,1,N
IDCJAC0009,031199,2000,12,11,2.0,1,N
IDCJAC0009,031199,2000,12,12,4.0,1,N
IDCJAC0009,031199,2000,12,13,6.0,1,N
IDCJAC0009,031199,2000,12,14,0.0,1,N
IDCJAC0009,031199,2000,12,15,4.0,1,N
IDCJAC0009,031199,2000,12,16,4.0,1,N
IDCJAC0009,031199,2000,12,17,44.0,1,N
IDCJAC0009,031199,2000,12,18,12.0,1,N
IDCJAC0009,031199,2000,12,19,28.0,1,N
IDCJAC0009,031199,2000,12,20,4.0,1,N
IDCJAC0009,031199,2000,12,21,2.0,1,N
IDCJAC0009,031199,2000,12,22,14.0,1,N
IDCJAC0009,031199,2000,12,23,8.0,1,N
IDCJAC0009,031199,2000,12,24,2.0,1,N
IDCJAC0009,031199,2000,12,25,0.0,1,N
IDCJAC0009,031199,2000,12,26,0.0,1,N
IDCJAC0009,031199,2000,12,27,0.0,1,N
IDCJAC0009,031199,2000,12,28,0.0,1,N
IDCJAC0009,031199,2000,12,29,0.0,1,N
IDCJAC0009,031199,2000,12,30,2.0,1,N
IDCJAC0009,031199,2000,12,31,0.0,1,N
IDCJAC0009,031199,2001,01,01,258.0,1,N
IDCJAC0009,031199,2001,01,02,76.0,1,N
IDCJAC0009,031199,2001,01,03,34.0,1,N
IDCJAC0009,031199,2001,01,04,22.0,1,N
IDCJAC0009,031199,2001,01,05,2.0,1,N
IDCJAC0009,031199,2001,01,06,2.0,1,N
IDCJAC0009,031199,2001,01,07,,,
IDCJAC0009,031199,2001,01,08,0.0,1,N
IDCJAC0009,031199,2001,01,09,0.0,1,N
IDCJAC0009,031199,2001,01,10,0.0,1,N
IDCJAC0009,031199,2001,01,11,,,
IDCJAC0009,031199,2001,01,12,,,
IDCJAC0009,031199,2001,01,13,,,
IDCJAC0009,031199,2001,01,14,12.0,1,N
IDCJAC0009,031199,2001,01,15,4.0,1,N
IDCJAC0009,031199,2001,01,16,4.0,1,N
IDCJAC0009,031199,2001,01,17,2.0,1,N
IDCJAC0009,031199,2001,01,18,22.0,1,N
IDCJAC0009,031199,2001,01,19,0.0,1,N
IDCJAC0009,031199,2001,01,20,18.0,1,N
IDCJAC0009,031199,2001,01,21,6.0,1,N
IDCJAC0009,031199,2001,01,22,52.0,1,N
IDCJAC0009,031199,2001,01,23,0.0,1,N
IDCJAC0009,031199,2001,01,24,0.0,1,N
